Symbol,years,bh_cagr,bh_sharpe,bh_maxdd,sma_cagr,sma_sharpe,sma_maxdd,Company Name,Industry
IPCALAB,26.510609171800137,0.2183856671997424,0.5216007149398656,-0.7820187858443305,0.2233981589994578,0.5618521105071073,-0.5713131492107928,Ipca Laboratories Ltd.,Healthcare
LINDEINDIA,26.102669404517453,0.28470269644186774,0.6154619957116851,-0.5505573163013032,0.23951479414891685,0.5527434234275342,-0.5560999314375259,Linde India Ltd.,Chemicals
HUDCO,9.136208076659821,0.16879733614814785,0.4343197664781062,-0.8017417796869654,0.20165493247443167,0.5435716463113294,-0.5504885947486651,Housing & Urban Development Corporation Ltd.,Financial Services
SAIL,26.510609171800137,0.11946480519754288,0.3453710759952431,-0.9125936801593721,0.20823917957954152,0.5355712926401547,-0.594412225551151,Steel Authority of India Ltd.,Metals & Mining
INDUSINDBK,24.019164955509925,0.19680650603022243,0.4886033018950695,-0.8502792089814957,0.19859705435315944,0.5324562825038605,-0.5411455994106917,IndusInd Bank Ltd.,Financial Services
NATIONALUM,26.510609171800137,0.17008242835229215,0.4373227310887193,-0.8053038667045141,0.2014515033433648,0.5276860483554423,-0.44765666079604993,National Aluminium Co. Ltd.,Metals & Mining
ABBOTINDIA,23.904175222450377,0.2258693699580312,0.4545618506329541,-0.3287497631314251,0.154044326435806,0.5256217499417585,-0.3580374332905589,Abbott India Ltd.,Healthcare
THERMAX,24.019164955509925,0.43836001374188704,0.5026823192959781,-0.8312020336259744,0.4869037910042824,0.5245242846530808,-0.46504215231848245,Thermax Ltd.,Capital Goods
3MINDIA,24.019164955509925,0.224073842020988,0.5914703334747446,-0.667645061710414,0.1797252462149539,0.5169903397151348,-0.40265969283286207,3M India Ltd.,Diversified
PIIND,15.063655030800822,0.27398240265776463,0.7028743922986642,-0.4567388645038776,0.17663500581952563,0.5102972527141357,-0.38588281610215414,PI Industries Ltd.,Chemicals
MCX,14.329911019849419,0.1965518092350449,0.49706276176963937,-0.84703782140318,0.1829527928932877,0.5054208016832253,-0.5086436162988542,Multi Commodity Exchange of India Ltd.,Financial Services
JSL,22.639288158795345,0.029411147482699684,0.26922103399772934,-0.9393668889639695,0.1878257644075496,0.5013136527147471,-0.831355657636437,Jindal Stainless Ltd.,Metals & Mining
OFSS,24.027378507871322,0.20295329590544342,0.5234823690591666,-0.8355163314391827,0.16839142271168028,0.4979711154369091,-0.4445260002287327,Oracle Financial Services Software Ltd.,Information Technology
RADICO,23.055441478439427,0.23508136080601272,0.6096672303966576,-0.9252766154375348,0.16282989758392086,0.48963428901452244,-0.8185532141049109,Radico Khaitan Ltd,Fast Moving Consumer Goods
